title,vote_count,genres,popularity,id,vote_average,Weighted_Rating
Up,7048.0,"['Animation', 'Comedy', 'Family', 'Adventure']",19.330884,14160,7.8,7.673443187833231
Blade Runner,3833.0,"['Science Fiction', 'Drama', 'Thriller']",96.272374,78,7.9,7.6679170216471135
12 Years a Slave,3787.0,"['Drama', 'History']",30.316249,76203,7.9,7.665387806531211
Shutter Island,6559.0,"['Drama', 'Thriller', 'Mystery']",15.813629,11324,7.8,7.6645934407790985
Eternal Sunshine of the Spotless Mind,3758.0,"['Science Fiction', 'Drama', 'Romance']",12.906327,38,7.9,7.663764773704255
WALL·E,6439.0,"['Animation', 'Family']",16.088366,10681,7.8,7.662229293084277
Big Hero 6,6289.0,"['Adventure', 'Family', 'Animation', 'Action', 'Comedy']",213.849907,177572,7.8,7.659155426352556
Your Name.,1030.0,"['Romance', 'Animation', 'Drama']",34.461252,372058,8.5,7.645698040552074
American Beauty,3438.0,['Drama'],20.726578,14,7.9,7.644241201283118
The Pianist,1927.0,"['Drama', 'War']",14.811594,423,8.1,7.643795820147495
Rear Window,1531.0,"['Drama', 'Mystery', 'Thriller']",17.911314,567,8.2,7.6297719752510105
Prisoners,3183.0,"['Drama', 'Thriller', 'Crime']",11.96262,146233,7.9,7.626210099908276
2001: A Space Odyssey,3075.0,"['Science Fiction', 'Mystery', 'Adventure']",22.494622,62,7.9,7.617783394519304
The Truman Show,4702.0,"['Comedy', 'Drama']",13.155901,37165,7.8,7.61563511124771
Dallas Buyers Club,2973.0,"['Drama', 'History']",14.785719,152532,7.9,7.609334291566843
Good Will Hunting,2880.0,['Drama'],15.064833,489,7.9,7.60117740837907
Apocalypse Now,2112.0,"['Drama', 'War']",13.5963,28,8.0,7.5939913320378
Oldboy,2000.0,"['Drama', 'Thriller', 'Mystery', 'Action']",10.616859,670,8.0,7.575308928253179
Full Metal Jacket,2595.0,"['Drama', 'War']",13.94148,600,7.9,7.573061053604569
Requiem for a Dream,2525.0,"['Crime', 'Drama']",6.874828,641,7.9,7.565326776400216
Harry Potter and the Prisoner of Azkaban,6037.0,"['Adventure', 'Fantasy', 'Family']",28.460276,673,7.7,7.560377365379113
The Theory of Everything,3403.0,"['Drama', 'Romance']",11.85302,266856,7.8,7.553219163765502
Amélie,3403.0,"['Comedy', 'Romance']",12.879381,194,7.8,7.553219163765502
